EMPLID,DEPTID,ACCT_CD,PAY_END_DT,O_SAL_AMT,O_TEMP_AMT,O_OVT_AMT,O_FRINGE_TOT,O_AUTO_ALLOW,O_WC_PAID,O_SUI_PAID,O_UNIFORM_ALLOW,O_DIS_INS,O_FIRE_HOL,O_SPECIAL_MEETING
18006,43,1044,9/19/15 0:00,0,0,143.01,0,0,0,0,0,0,0,0
18006,43,1044,10/17/15 0:00,0,0,1823.37,0,0,0,0,0,0,0,0
18006,43,1044,2/20/16 0:00,0,0,625.67,0,0,0,0,0,0,0,0
18006,43,1044,3/19/16 0:00,0,0,429.03,0,0,0,0,0,0,0,0
18006,43,1044,4/30/16 0:00,0,0,589.91,0,0,0,0,0,0,0,0
18006,43,1044,5/14/16 0:00,0,0,536.29,0,0,0,0,0,0,0,0
18006,43,1044,6/25/16 0:00,0,0,607.79,0,0,0,0,0,0,0,0
18006,43,1045,1/10/15 0:00,0,0,341.16,0,0,0,0,0,0,0,0
18006,43,1045,5/2/15 0:00,0,0,204.7,0,0,0,0,0,0,0,0
18006,43,1045,9/5/15 0:00,0,0,840.18,0,0,0,0,0,0,0,0
18006,43,1045,11/14/15 0:00,0,0,214.51,0,0,0,0,0,0,0,0
18006,43,1045,2/6/16 0:00,0,0,536.28,0,0,0,0,0,0,0,0
18576,162,34162,1/10/15 0:00,3035.33,0,71.14,1684.63,0,19.12,18.42,0,0,0,0
18576,162,34162,1/24/15 0:00,3945.95,0,263.93,1192.8,0,24.86,23.68,0,0,0,0
18576,162,34162,2/7/15 0:00,3187.09,0,418.31,1756.4,0,20.08,19.33,0,0,0,0
18576,162,34162,2/21/15 0:00,3296.65,0,552.76,1799.3,0,20.77,19.99,0,0,0,0
18576,162,34162,3/7/15 0:00,3226.93,0,761.91,1794.55,0,20.33,19.57,0,0,0,0
18576,162,34162,3/21/15 0:00,3037.7,0,642.4,1729.06,0,19.14,18.44,0,0,0,0
18576,162,34162,4/4/15 0:00,3266.77,0,74.7,1753.84,0,20.58,19.81,0,0,0,0
18576,162,34162,4/18/15 0:00,3107.41,0,403.37,1731.53,0,19.58,18.85,0,0,0,0
18576,162,34162,5/2/15 0:00,3187.09,0,373.49,1752.96,0,20.08,19.34,0,0,0,0
18576,162,34162,5/16/15 0:00,3187.09,0,0,1724.4,0,20.08,19.33,0,0,0,0
18576,162,34162,5/30/15 0:00,11154.83,0,89.64,2340.78,0,20.08,19.33,0,0,0,0
18576,162,34162,6/13/15 0:00,3366.37,0,493,1815.5,0,21.21,20.41,0,0,0,0
18576,162,34162,6/27/15 0:00,3187.09,0,0,1724.39,0,20.08,19.33,0,0,0,0
18576,162,34162,7/11/15 0:00,3187.1,0,0,1756.37,0,20.08,19.34,0,0,0,0
18576,162,34162,7/25/15 0:00,3364.61,0,583.55,1003.55,0,21.2,20.18,0,0,0,0
18576,162,34162,8/8/15 0:00,3364.62,0,0,1736.68,0,21.2,20.4,0,0,0,0
18576,162,34162,8/22/15 0:00,3312.04,0,0,1721.68,0,20.87,20.08,0,0,0,0
18576,162,34162,9/5/15 0:00,3354.1,0,268.12,1754.2,0,21.13,20.34,0,0,0,0
18576,162,34162,9/19/15 0:00,3364.61,0,0,1736.68,0,21.2,20.4,0,0,0,0
18576,162,34162,10/3/15 0:00,3364.62,0,0,1736.67,0,21.2,20.39,0,0,0,0
18576,162,34162,10/17/15 0:00,3364.62,0,0,1736.68,0,21.2,20.4,0,0,0,0
18576,162,34162,10/31/15 0:00,3364.62,0,0,1736.68,0,21.2,20.4,0,0,0,0
18576,162,34162,11/14/15 0:00,3196.38,0,268.12,1709.19,0,20.14,19.39,0,0,0,0
18576,162,34162,11/28/15 0:00,3743.13,0,0,1765.63,0,21.2,22.67,0,0,0,0
18576,162,34162,12/12/15 0:00,3532.85,0,252.35,1803.99,0,22.26,21.4,0,0,0,0
18576,162,34162,12/26/15 0:00,3574.9,0,252.35,959.16,0,20.14,21.45,0,0,0,0
18576,162,34162,1/9/16 0:00,3553.87,0,0,1834.82,0,22.39,21.53,0,0,0,0
18576,162,34162,1/23/16 0:00,3343.58,0,31.54,1777.22,0,21.06,20.27,0,0,0,0
18576,162,34162,2/6/16 0:00,3364.61,0,520.46,1820.62,0,21.2,20.4,0,0,0,0
18576,162,34162,2/20/16 0:00,3364.61,0,599.32,1826.65,0,21.2,20.4,0,0,0,0
18576,162,34162,3/5/16 0:00,4878.67,0,1111.11,2297.8,0,30.74,29.48,0,0,0,0
18576,162,34162,3/19/16 0:00,3532.84,0,596.17,1874.41,0,22.26,21.41,0,0,0,0
18576,162,34162,4/2/16 0:00,3532.84,0,0,1828.81,0,22.26,21.41,0,0,0,0
18576,162,34162,4/16/16 0:00,3532.84,0,0,1828.81,0,22.26,21.4,0,0,0,0
18576,162,34162,4/30/16 0:00,3356.19,0,480.25,1815.17,0,21.14,20.35,0,0,0,0
18576,162,34162,5/14/16 0:00,3709.48,0,480.25,1915.94,0,23.37,22.47,0,0,0,0
18576,162,34162,5/28/16 0:00,3532.84,0,728.65,1884.56,0,22.26,21.4,0,0,0,0
18576,162,34162,6/11/16 0:00,3488.68,0,529.93,1856.74,0,21.98,21.15,0,0,0,0
18576,162,34162,6/25/16 0:00,3577,0,463.69,1876.88,0,22.54,21.67,0,0,0,0
18576,162,34162,7/9/16 0:00,3532.84,0,430.57,1898.88,0,22.26,21.41,0,0,0,0
18576,162,34162,7/23/16 0:00,3594.66,0,539.2,1077.08,0,22.65,21.56,0,0,0,0
18576,162,34162,8/6/16 0:00,3605.9,0,741.4,1917.68,0,22.72,21.85,0,0,0,0
18576,162,34162,8/20/16 0:00,3583.44,0,1213.2,1947.31,0,22.58,21.71,0,0,0,0
18576,162,34162,9/3/16 0:00,3617.13,0,876.2,1931.24,0,22.79,21.91,0,0,0,0
18576,162,34162,9/17/16 0:00,3190.26,0,859.35,1722.12,0,20.1,19.34,0,0,0,0
18576,162,034162OIAAT,9/17/16 0:00,337,0,0,181.92,0,2.12,2.04,0,0,0,0
18606,161,34162,1/10/15 0:00,2466.68,0,0,1461.46,0,15.54,14.8,0,0,0,0
18606,161,34162,1/24/15 0:00,2466.68,0,0,732.1,0,15.54,14.8,0,0,0,0
18606,161,34162,2/7/15 0:00,2466.68,0,0,1461.46,0,15.54,14.8,0,0,0,0
18606,161,34162,2/21/15 0:00,2466.69,0,0,1461.48,0,15.54,14.8,0,0,0,0
18606,161,34162,3/7/15 0:00,2466.68,0,0,1461.46,0,15.54,14.8,0,0,0,0
18606,161,34162,3/21/15 0:00,2466.68,0,0,1461.47,0,15.54,14.8,0,0,0,0
